unique_key,created_date,closed_date,complaint_type,borough,agency,status,time_to_close_days,date,tmin,tmax,precipitation,wind,temp_avg,rainy_day
INC500000,2023-07-14 06:38:00,2023-07-14 06:38:00,Illegal Parking,QUEENS,NYPD,Open,0,2023-07-14,3.7,14.3,0.0,16.1,9.0,0
INC500001,2023-09-29 21:44:00,2023-10-02 21:44:00,Heat,QUEENS,DSNY,Closed,3,2023-09-29,1.2,30.7,0.05,0.1,15.95,0
INC500002,2023-10-29 06:50:00,2023-11-08 06:50:00,Blocked Driveway,STATEN ISLAND,DOB,Closed,10,2023-10-29,4.2,30.0,0.0,6.4,17.1,0
INC500003,2023-03-19 14:42:00,2023-03-19 14:42:00,Rodent,BROOKLYN,DOB,Closed,0,2023-03-19,6.2,5.0,0.17,3.7,5.6,0
INC500004,2023-12-13 02:30:00,2023-12-14 02:30:00,Noise - Residential,STATEN ISLAND,DSNY,Closed,1,2023-12-13,10.2,25.6,0.93,10.6,17.9,1
INC500005,2023-07-05 17:05:00,2023-07-07 17:05:00,Heat,BROOKLYN,NYC 311,Closed,2,2023-07-05,16.9,18.0,0.04,9.8,17.45,0
INC500006,2023-03-08 06:58:00,2023-03-13 06:58:00,Street Condition,BRONX,DOT,Closed,5,2023-03-08,2.5,25.2,0.39,5.3,13.85,1
INC500007,2023-12-05 05:02:00,2023-12-05 05:02:00,Noise - Residential,STATEN ISLAND,DSNY,Closed,0,2023-12-05,5.2,15.8,0.0,1.6,10.5,0
INC500008,2023-08-06 20:05:00,2023-08-06 20:05:00,Rodent,MANHATTAN,DOT,Closed,0,2023-08-06,6.4,16.5,0.0,18.5,11.45,0
INC500009,2023-07-27 06:57:00,2023-08-03 06:57:00,Noise - Residential,STATEN ISLAND,NYPD,Closed,7,2023-07-27,16.0,27.1,0.0,18.8,21.55,0
INC500010,2023-07-26 04:22:00,2023-08-05 04:22:00,Street Light Condition,STATEN ISLAND,DOB,Closed,10,2023-07-26,4.7,3.4,1.37,0.8,4.05,1
INC500011,2023-03-19 19:26:00,2023-03-19 19:26:00,Noise - Residential,STATEN ISLAND,DOT,Closed,0,2023-03-19,6.2,5.0,0.17,3.7,5.6,0
INC500012,2023-03-16 06:56:00,2023-03-19 06:56:00,Street Condition,QUEENS,NYPD,Open,3,2023-03-16,-3.4,20.7,0.68,12.5,8.65,1
INC500013,2023-07-05 05:43:00,2023-07-05 05:43:00,Illegal Parking,MANHATTAN,NYC 311,Closed,0,2023-07-05,16.9,18.0,0.04,9.8,17.45,0
INC500014,2023-04-21 12:25:00,2023-04-22 12:25:00,Street Condition,BRONX,NYPD,Closed,1,2023-04-21,14.2,12.6,0.0,4.2,13.399999999999999,0
INC500015,2023-02-17 05:56:00,2023-02-17 05:56:00,Blocked Driveway,STATEN ISLAND,DSNY,Open,0,2023-02-17,-2.3,13.0,0.0,11.5,5.35,0
INC500016,2023-06-09 20:14:00,2023-06-14 20:14:00,Illegal Parking,BROOKLYN,DOB,Open,5,2023-06-09,-2.4,2.4,0.16,6.3,0.0,0
INC500017,2023-04-22 22:43:00,2023-04-27 22:43:00,Blocked Driveway,BRONX,NYC 311,Closed,5,2023-04-22,15.6,6.4,0.0,20.0,11.0,0
INC500018,2023-08-04 08:04:00,2023-08-06 08:04:00,Heat,QUEENS,DSNY,Open,2,2023-08-04,-3.6,22.4,0.11,15.2,9.399999999999999,0
INC500019,2023-03-07 08:27:00,2023-03-17 08:27:00,Blocked Driveway,STATEN ISLAND,DEP,Closed,10,2023-03-07,7.1,4.2,0.18,0.4,5.65,0
INC500020,2023-05-25 12:43:00,2023-05-30 12:43:00,Street Condition,BROOKLYN,DOB,Closed,5,2023-05-25,4.8,25.8,0.0,17.2,15.3,0
INC500021,2023-04-10 12:21:00,2023-04-20 12:21:00,Blocked Driveway,QUEENS,DOB,Closed,10,2023-04-10,8.8,13.1,0.1,17.4,10.95,0
INC500022,2023-04-09 21:42:00,2023-04-09 21:42:00,Water System,BRONX,DOB,Closed,0,2023-04-09,3.6,24.1,0.0,3.6,13.850000000000001,0
INC500023,2023-07-29 11:42:00,2023-07-31 11:42:00,Noise - Residential,BROOKLYN,NYC 311,Closed,2,2023-07-29,14.3,13.7,0.9,2.8,14.0,1
INC500024,2023-06-08 21:47:00,2023-06-22 21:47:00,Street Light Condition,STATEN ISLAND,DOT,Open,14,2023-06-08,-3.3,18.7,0.0,1.0,7.699999999999999,0
INC500025,2023-08-02 14:35:00,2023-08-05 14:35:00,Rodent,BRONX,DEP,Closed,3,2023-08-02,1.0,17.4,1.37,10.9,9.2,1
INC500026,2023-04-13 23:01:00,2023-04-27 23:01:00,Street Condition,BRONX,NYC 311,Closed,14,2023-04-13,10.9,26.5,0.31,10.3,18.7,1
INC500027,2023-08-02 09:23:00,2023-08-16 09:23:00,Water System,MANHATTAN,DEP,Closed,14,2023-08-02,1.0,17.4,1.37,10.9,9.2,1
INC500028,2023-04-10 03:55:00,2023-04-17 03:55:00,Blocked Driveway,BRONX,DSNY,Closed,7,2023-04-10,8.8,13.1,0.1,17.4,10.95,0
INC500029,2023-03-07 04:57:00,2023-03-09 04:57:00,Street Condition,BRONX,DSNY,Closed,2,2023-03-07,7.1,4.2,0.18,0.4,5.65,0
INC500030,2023-04-02 11:16:00,2023-04-03 11:16:00,Street Light Condition,STATEN ISLAND,DOB,Open,1,2023-04-02,6.4,19.9,0.0,19.1,13.149999999999999,0
INC500031,2023-04-05 15:36:00,2023-04-15 15:36:00,Heat,QUEENS,DOT,Closed,10,2023-04-05,7.3,6.2,0.0,11.8,6.75,0
INC500032,2023-09-30 07:29:00,2023-10-02 07:29:00,Noise - Residential,MANHATTAN,NYC 311,Open,2,2023-09-30,14.7,25.1,0.0,5.0,19.9,0
INC500033,2023-12-02 23:00:00,2023-12-05 23:00:00,Rodent,BRONX,DEP,Closed,3,2023-12-02,2.0,16.2,0.63,8.4,9.1,1
INC500034,2023-07-31 08:10:00,2023-07-31 08:10:00,Heat,BRONX,NYC 311,Closed,0,2023-07-31,6.8,7.3,0.0,17.8,7.05,0
INC500035,2023-09-19 07:35:00,2023-09-26 07:35:00,Noise - Residential,BRONX,DOB,Closed,7,2023-09-19,0.0,13.3,0.9,3.6,6.65,1
INC500036,2023-04-28 06:07:00,2023-04-30 06:07:00,Illegal Parking,QUEENS,NYC 311,Closed,2,2023-04-28,-5.1,13.2,0.25,11.4,4.05,1
INC500037,2023-04-12 17:11:00,2023-04-17 17:11:00,Water System,STATEN ISLAND,NYC 311,Open,5,2023-04-12,8.7,5.7,0.0,0.8,7.199999999999999,0
INC500038,2023-03-06 04:09:00,2023-03-09 04:09:00,Noise - Residential,MANHATTAN,DSNY,Closed,3,2023-03-06,-0.4,11.9,0.49,13.7,5.75,1
INC500039,2023-07-01 22:14:00,2023-07-04 22:14:00,Street Condition,BROOKLYN,NYPD,Closed,3,2023-07-01,10.3,1.3,0.16,7.8,5.800000000000001,0
INC500040,2023-06-25 20:27:00,2023-06-25 20:27:00,Noise - Residential,MANHATTAN,DSNY,Closed,0,2023-06-25,14.8,5.1,0.0,10.0,9.95,0
INC500041,2023-01-07 07:24:00,2023-01-17 07:24:00,Street Condition,STATEN ISLAND,DOT,Open,10,2023-01-07,7.3,23.4,0.17,17.8,15.35,0
INC500042,2023-08-16 23:50:00,2023-08-19 23:50:00,Heat,STATEN ISLAND,DOT,Open,3,2023-08-16,10.9,21.4,0.83,11.9,16.15,1
INC500043,2023-08-16 11:16:00,2023-08-17 11:16:00,Noise - Residential,BROOKLYN,NYPD,Closed,1,2023-08-16,10.9,21.4,0.83,11.9,16.15,1
INC500044,2023-03-09 00:56:00,2023-03-10 00:56:00,Rodent,BROOKLYN,DSNY,Closed,1,2023-03-09,11.9,1.5,1.39,18.4,6.7,1
INC500045,2023-02-07 01:22:00,2023-02-07 01:22:00,Water System,QUEENS,DOB,Open,0,2023-02-07,1.3,6.9,2.35,14.1,4.1000000000000005,1
INC500046,2023-01-18 12:52:00,2023-01-19 12:52:00,Illegal Parking,BRONX,DOB,Closed,1,2023-01-18,5.2,21.2,0.16,18.4,13.2,0
INC500047,2023-05-28 23:25:00,2023-05-30 23:25:00,Sewer,MANHATTAN,DOT,Open,2,2023-05-28,-1.5,11.7,0.07,11.2,5.1,0
INC500048,2023-07-28 01:13:00,2023-07-29 01:13:00,Illegal Parking,STATEN ISLAND,NYC 311,Open,1,2023-07-28,15.1,12.3,0.14,2.0,13.7,0
INC500049,2023-01-03 18:01:00,2023-01-10 18:01:00,Noise - Residential,QUEENS,DOB,Pending,7,2023-01-03,-4.1,18.2,0.74,1.9,7.05,1
INC500050,2023-02-01 08:11:00,2023-02-04 08:11:00,Blocked Driveway,BRONX,DOB,Closed,3,2023-02-01,17.4,30.3,0.84,10.4,23.85,1
INC500051,2023-09-15 12:59:00,2023-09-29 12:59:00,Street Light Condition,MANHATTAN,DOT,Closed,14,2023-09-15,13.4,8.5,0.16,19.4,10.95,0
INC500052,2023-08-11 04:30:00,2023-08-21 04:30:00,Noise - Residential,BRONX,DOT,Closed,10,2023-08-11,17.5,8.1,0.0,9.7,12.8,0
INC500053,2023-09-06 06:45:00,2023-09-16 06:45:00,Blocked Driveway,STATEN ISLAND,DOT,Closed,10,2023-09-06,12.7,21.2,0.33,11.0,16.95,1
INC500054,2023-09-01 23:57:00,2023-09-02 23:57:00,Street Condition,BROOKLYN,DOB,Closed,1,2023-09-01,-1.7,28.5,0.08,1.7,13.4,0
INC500055,2023-12-11 16:58:00,2023-12-21 16:58:00,Rodent,STATEN ISLAND,DEP,Closed,10,2023-12-11,3.0,20.2,0.13,1.3,11.6,0
INC500056,2023-12-18 22:26:00,2023-12-20 22:26:00,Rodent,BROOKLYN,NYPD,Closed,2,2023-12-18,2.7,25.2,0.0,5.2,13.95,0
INC500057,2023-06-21 15:12:00,2023-06-21 15:12:00,Water System,STATEN ISLAND,DSNY,Pending,0,2023-06-21,12.8,15.9,0.0,0.6,14.350000000000001,0
INC500058,2023-06-11 06:59:00,2023-06-11 06:59:00,Illegal Parking,MANHATTAN,DOB,Closed,0,2023-06-11,14.3,24.6,0.04,4.2,19.450000000000003,0
INC500059,2023-01-06 18:33:00,2023-01-07 18:33:00,Sewer,BRONX,NYPD,Closed,1,2023-01-06,15.6,25.5,0.55,2.3,20.55,1
INC500060,2023-03-14 22:19:00,2023-03-17 22:19:00,Noise - Residential,QUEENS,NYC 311,Closed,3,2023-03-14,0.2,29.5,0.19,14.9,14.85,0
INC500061,2023-04-29 04:38:00,2023-04-29 04:38:00,Street Condition,BRONX,NYPD,Closed,0,2023-04-29,13.1,15.7,0.0,17.8,14.399999999999999,0
INC500062,2023-05-06 17:09:00,2023-05-13 17:09:00,Noise - Residential,QUEENS,DOT,Closed,7,2023-05-06,16.5,5.4,0.0,19.2,10.95,0
INC500063,2023-11-14 08:48:00,2023-11-24 08:48:00,Water System,BRONX,DOB,Closed,10,2023-11-14,8.1,8.1,0.09,0.4,8.1,0
INC500064,2023-02-11 22:54:00,2023-02-25 22:54:00,Blocked Driveway,QUEENS,DSNY,Closed,14,2023-02-11,1.5,26.1,0.0,2.8,13.8,0
INC500065,2023-11-27 08:20:00,2023-12-02 08:20:00,Street Condition,STATEN ISLAND,DOT,Closed,5,2023-11-27,18.0,23.4,0.57,12.7,20.7,1
INC500066,2023-01-18 07:17:00,2023-01-19 07:17:00,Noise - Residential,MANHATTAN,DEP,Open,1,2023-01-18,5.2,21.2,0.16,18.4,13.2,0
INC500067,2023-05-05 06:28:00,2023-05-10 06:28:00,Street Light Condition,STATEN ISLAND,NYPD,Closed,5,2023-05-05,13.7,27.4,1.42,12.2,20.549999999999997,1
INC500068,2023-07-16 03:47:00,2023-07-16 03:47:00,Street Light Condition,MANHATTAN,DOB,Pending,0,2023-07-16,3.2,5.8,0.0,5.7,4.5,0
INC500069,2023-08-07 10:32:00,2023-08-21 10:32:00,Rodent,QUEENS,NYC 311,Closed,14,2023-08-07,-3.5,30.8,0.0,14.1,13.65,0
INC500070,2023-07-23 06:04:00,2023-07-26 06:04:00,Illegal Parking,BRONX,NYPD,Open,3,2023-07-23,14.4,19.5,0.0,12.9,16.95,0
INC500071,2023-02-13 22:01:00,2023-02-13 22:01:00,Noise - Residential,STATEN ISLAND,DSNY,Closed,0,2023-02-13,15.0,14.8,0.0,7.5,14.9,0
INC500072,2023-08-05 21:42:00,2023-08-08 21:42:00,Noise - Residential,BROOKLYN,NYPD,Closed,3,2023-08-05,3.7,16.9,0.0,19.8,10.299999999999999,0
INC500073,2023-04-15 21:40:00,2023-04-29 21:40:00,Noise - Residential,BROOKLYN,NYPD,Closed,14,2023-04-15,-0.9,3.3,0.18,9.9,1.2,0
INC500074,2023-03-11 22:18:00,2023-03-25 22:18:00,Sewer,BROOKLYN,DOT,Closed,14,2023-03-11,12.5,13.7,0.0,12.3,13.1,0
INC500075,2023-07-17 20:06:00,2023-07-17 20:06:00,Heat,QUEENS,DOB,Closed,0,2023-07-17,-5.4,18.6,0.0,14.7,6.6000000000000005,0
INC500076,2023-05-21 23:07:00,2023-05-21 23:07:00,Rodent,BROOKLYN,DSNY,Closed,0,2023-05-21,8.0,0.9,0.0,15.6,4.45,0
INC500077,2023-03-07 09:38:00,2023-03-09 09:38:00,Street Condition,QUEENS,DEP,Open,2,2023-03-07,7.1,4.2,0.18,0.4,5.65,0
INC500078,2023-08-18 08:32:00,2023-08-19 08:32:00,Noise - Residential,BRONX,DOT,Closed,1,2023-08-18,2.5,29.9,0.31,8.2,16.2,1
INC500079,2023-09-19 04:51:00,2023-09-21 04:51:00,Rodent,BRONX,NYC 311,Closed,2,2023-09-19,0.0,13.3,0.9,3.6,6.65,1
INC500080,2023-10-12 13:50:00,2023-10-12 13:50:00,Noise - Residential,BROOKLYN,DOB,Open,0,2023-10-12,5.4,7.7,0.77,9.4,6.550000000000001,1
INC500081,2023-10-25 02:00:00,2023-10-27 02:00:00,Blocked Driveway,QUEENS,NYC 311,Closed,2,2023-10-25,11.7,18.8,1.74,18.6,15.25,1
INC500082,2023-02-15 07:19:00,2023-02-15 07:19:00,Noise - Residential,BROOKLYN,NYPD,Closed,0,2023-02-15,13.8,28.2,0.1,14.6,21.0,0
INC500083,2023-10-12 21:41:00,2023-10-12 21:41:00,Rodent,BROOKLYN,DOT,Closed,0,2023-10-12,5.4,7.7,0.77,9.4,6.550000000000001,1
INC500084,2023-07-27 10:32:00,2023-07-27 10:32:00,Water System,BRONX,DEP,Closed,0,2023-07-27,16.0,27.1,0.0,18.8,21.55,0
INC500085,2023-06-28 06:22:00,2023-06-28 06:22:00,Sewer,STATEN ISLAND,DEP,Closed,0,2023-06-28,3.5,18.3,2.77,9.8,10.9,1
INC500086,2023-04-17 20:33:00,2023-04-20 20:33:00,Sewer,BROOKLYN,DEP,Pending,3,2023-04-17,17.2,19.4,2.5,8.3,18.299999999999997,1
INC500087,2023-10-13 05:46:00,2023-10-15 05:46:00,Street Condition,BRONX,NYC 311,Closed,2,2023-10-13,11.2,0.3,0.0,13.3,5.75,0
INC500088,2023-10-31 11:09:00,2023-10-31 11:09:00,Noise - Residential,STATEN ISLAND,DOB,Closed,0,2023-10-31,13.2,9.6,0.0,18.4,11.399999999999999,0
INC500089,2023-05-30 11:11:00,2023-06-02 11:11:00,Sewer,STATEN ISLAND,NYC 311,Open,3,2023-05-30,0.0,6.8,0.43,1.4,3.4,1
INC500090,2023-06-01 01:42:00,2023-06-11 01:42:00,Blocked Driveway,STATEN ISLAND,NYC 311,Closed,10,2023-06-01,-1.4,0.9,0.04,6.5,-0.24999999999999994,0
INC500091,2023-11-18 02:30:00,2023-11-20 02:30:00,Street Condition,BROOKLYN,NYPD,Closed,2,2023-11-18,15.3,24.8,0.0,11.9,20.05,0
INC500092,2023-11-25 12:16:00,2023-11-25 12:16:00,Illegal Parking,STATEN ISLAND,DOT,Open,0,2023-11-25,8.2,28.3,0.37,6.3,18.25,1
INC500093,2023-05-15 21:06:00,2023-05-25 21:06:00,Blocked Driveway,MANHATTAN,DOT,Closed,10,2023-05-15,-4.0,3.1,0.42,5.7,-0.44999999999999996,1
INC500094,2023-03-05 19:42:00,2023-03-19 19:42:00,Derelict Vehicle,STATEN ISLAND,DOT,Closed,14,2023-03-05,-2.1,3.2,2.08,12.5,0.55,1
INC500095,2023-12-08 04:18:00,2023-12-22 04:18:00,Water System,BROOKLYN,NYC 311,Open,14,2023-12-08,11.5,5.0,0.0,12.8,8.25,0
INC500096,2023-09-18 17:16:00,2023-09-18 17:16:00,Blocked Driveway,STATEN ISLAND,NYPD,Closed,0,2023-09-18,6.1,18.4,0.47,10.4,12.25,1
INC500097,2023-08-11 23:24:00,2023-08-11 23:24:00,Derelict Vehicle,BRONX,DSNY,Closed,0,2023-08-11,17.5,8.1,0.0,9.7,12.8,0
INC500098,2023-09-02 20:04:00,2023-09-04 20:04:00,Illegal Parking,BROOKLYN,NYC 311,Open,2,2023-09-02,4.9,3.5,0.4,13.6,4.2,1
INC500099,2023-08-21 02:59:00,2023-08-22 02:59:00,Heat,BROOKLYN,NYPD,Pending,1,2023-08-21,-4.4,19.6,0.0,1.2,7.6000000000000005,0
INC500100,2023-01-21 02:00:00,2023-01-28 02:00:00,Sewer,STATEN ISLAND,DSNY,Pending,7,2023-01-21,3.1,4.5,0.0,13.9,3.8,0
INC500101,2023-11-26 16:48:00,2023-11-28 16:48:00,Water System,BROOKLYN,DOB,Closed,2,2023-11-26,-5.2,27.4,0.05,3.3,11.1,0
INC500102,2023-11-07 07:09:00,2023-11-21 07:09:00,Blocked Driveway,MANHATTAN,DEP,Open,14,2023-11-07,8.9,11.8,0.51,4.2,10.350000000000001,1
INC500103,2023-05-28 19:01:00,2023-06-04 19:01:00,Sewer,QUEENS,NYC 311,Closed,7,2023-05-28,-1.5,11.7,0.07,11.2,5.1,0
INC500104,2023-12-18 07:36:00,2023-12-20 07:36:00,Blocked Driveway,MANHATTAN,DOT,Open,2,2023-12-18,2.7,25.2,0.0,5.2,13.95,0
INC500105,2023-10-21 11:44:00,2023-10-31 11:44:00,Sewer,BRONX,NYPD,Closed,10,2023-10-21,13.5,28.5,0.08,15.2,21.0,0
INC500106,2023-07-10 17:53:00,2023-07-11 17:53:00,Blocked Driveway,STATEN ISLAND,DOT,Closed,1,2023-07-10,-3.1,15.9,3.78,13.7,6.4,1
INC500107,2023-05-11 15:53:00,2023-05-11 15:53:00,Sewer,STATEN ISLAND,NYPD,Open,0,2023-05-11,10.4,30.8,0.45,5.3,20.6,1
INC500108,2023-06-05 15:00:00,2023-06-08 15:00:00,Street Condition,STATEN ISLAND,NYPD,Closed,3,2023-06-05,10.0,3.1,0.55,11.1,6.55,1
INC500109,2023-03-30 21:56:00,2023-04-13 21:56:00,Street Condition,BROOKLYN,DOT,Closed,14,2023-03-30,-1.2,20.8,0.06,4.5,9.8,0
INC500110,2023-05-11 10:25:00,2023-05-12 10:25:00,Noise - Residential,BRONX,DOT,Closed,1,2023-05-11,10.4,30.8,0.45,5.3,20.6,1
INC500111,2023-03-21 17:29:00,2023-03-23 17:29:00,Sewer,MANHATTAN,NYPD,Closed,2,2023-03-21,5.4,15.5,0.0,8.5,10.45,0
INC500112,2023-06-17 18:09:00,2023-06-22 18:09:00,Noise - Residential,BROOKLYN,DOB,Closed,5,2023-06-17,1.0,14.0,0.51,3.6,7.5,1
INC500113,2023-03-20 14:13:00,2023-03-22 14:13:00,Street Condition,STATEN ISLAND,NYPD,Closed,2,2023-03-20,13.4,28.9,0.0,6.8,21.15,0
INC500114,2023-09-30 10:21:00,2023-10-14 10:21:00,Sewer,QUEENS,DOB,Closed,14,2023-09-30,14.7,25.1,0.0,5.0,19.9,0
INC500115,2023-07-17 05:15:00,2023-07-22 05:15:00,Heat,BROOKLYN,NYC 311,Closed,5,2023-07-17,-5.4,18.6,0.0,14.7,6.6000000000000005,0
INC500116,2023-01-31 23:03:00,2023-01-31 23:03:00,Street Light Condition,BROOKLYN,NYPD,Closed,0,2023-01-31,9.4,21.5,0.0,18.0,15.45,0
