unique_key,created_date,closed_date,complaint_type,borough,agency,status,time_to_close_days,date
INC500000,2023-07-14 06:38:00,2023-07-14 06:38:00,Illegal Parking,QUEENS,NYPD,Open,0,2023-07-14
INC500001,2023-09-29 21:44:00,2023-10-02 21:44:00,Heat,QUEENS,DSNY,Closed,3,2023-09-29
INC500002,2023-10-29 06:50:00,2023-11-08 06:50:00,Blocked Driveway,STATEN ISLAND,DOB,Closed,10,2023-10-29
INC500003,2023-03-19 14:42:00,2023-03-19 14:42:00,Rodent,BROOKLYN,DOB,Closed,0,2023-03-19
INC500004,2023-12-13 02:30:00,2023-12-14 02:30:00,Noise - Residential,STATEN ISLAND,DSNY,Closed,1,2023-12-13
INC500005,2023-07-05 17:05:00,2023-07-07 17:05:00,Heat,BROOKLYN,NYC 311,Closed,2,2023-07-05
INC500006,2023-03-08 06:58:00,2023-03-13 06:58:00,Street Condition,BRONX,DOT,Closed,5,2023-03-08
INC500007,2023-12-05 05:02:00,2023-12-05 05:02:00,Noise - Residential,STATEN ISLAND,DSNY,Closed,0,2023-12-05
INC500008,2023-08-06 20:05:00,2023-08-06 20:05:00,Rodent,MANHATTAN,DOT,Closed,0,2023-08-06
INC500009,2023-07-27 06:57:00,2023-08-03 06:57:00,Noise - Residential,STATEN ISLAND,NYPD,Closed,7,2023-07-27
INC500010,2023-07-26 04:22:00,2023-08-05 04:22:00,Street Light Condition,STATEN ISLAND,DOB,Closed,10,2023-07-26
INC500011,2023-03-19 19:26:00,2023-03-19 19:26:00,Noise - Residential,STATEN ISLAND,DOT,Closed,0,2023-03-19
INC500012,2023-03-16 06:56:00,2023-03-19 06:56:00,Street Condition,QUEENS,NYPD,Open,3,2023-03-16
INC500013,2023-07-05 05:43:00,2023-07-05 05:43:00,Illegal Parking,MANHATTAN,NYC 311,Closed,0,2023-07-05
INC500014,2023-04-21 12:25:00,2023-04-22 12:25:00,Street Condition,BRONX,NYPD,Closed,1,2023-04-21
INC500015,2023-02-17 05:56:00,2023-02-17 05:56:00,Blocked Driveway,STATEN ISLAND,DSNY,Open,0,2023-02-17
INC500016,2023-06-09 20:14:00,2023-06-14 20:14:00,Illegal Parking,BROOKLYN,DOB,Open,5,2023-06-09
INC500017,2023-04-22 22:43:00,2023-04-27 22:43:00,Blocked Driveway,BRONX,NYC 311,Closed,5,2023-04-22
INC500018,2023-08-04 08:04:00,2023-08-06 08:04:00,Heat,QUEENS,DSNY,Open,2,2023-08-04
INC500019,2023-03-07 08:27:00,2023-03-17 08:27:00,Blocked Driveway,STATEN ISLAND,DEP,Closed,10,2023-03-07
INC500020,2023-05-25 12:43:00,2023-05-30 12:43:00,Street Condition,BROOKLYN,DOB,Closed,5,2023-05-25
INC500021,2023-04-10 12:21:00,2023-04-20 12:21:00,Blocked Driveway,QUEENS,DOB,Closed,10,2023-04-10
INC500022,2023-04-09 21:42:00,2023-04-09 21:42:00,Water System,BRONX,DOB,Closed,0,2023-04-09
INC500023,2023-07-29 11:42:00,2023-07-31 11:42:00,Noise - Residential,BROOKLYN,NYC 311,Closed,2,2023-07-29
INC500024,2023-06-08 21:47:00,2023-06-22 21:47:00,Street Light Condition,STATEN ISLAND,DOT,Open,14,2023-06-08
INC500025,2023-08-02 14:35:00,2023-08-05 14:35:00,Rodent,BRONX,DEP,Closed,3,2023-08-02
INC500026,2023-04-13 23:01:00,2023-04-27 23:01:00,Street Condition,BRONX,NYC 311,Closed,14,2023-04-13
INC500027,2023-08-02 09:23:00,2023-08-16 09:23:00,Water System,MANHATTAN,DEP,Closed,14,2023-08-02
INC500028,2023-04-10 03:55:00,2023-04-17 03:55:00,Blocked Driveway,BRONX,DSNY,Closed,7,2023-04-10
INC500029,2023-03-07 04:57:00,2023-03-09 04:57:00,Street Condition,BRONX,DSNY,Closed,2,2023-03-07
INC500030,2023-04-02 11:16:00,2023-04-03 11:16:00,Street Light Condition,STATEN ISLAND,DOB,Open,1,2023-04-02
INC500031,2023-04-05 15:36:00,2023-04-15 15:36:00,Heat,QUEENS,DOT,Closed,10,2023-04-05
INC500032,2023-09-30 07:29:00,2023-10-02 07:29:00,Noise - Residential,MANHATTAN,NYC 311,Open,2,2023-09-30
INC500033,2023-12-02 23:00:00,2023-12-05 23:00:00,Rodent,BRONX,DEP,Closed,3,2023-12-02
INC500034,2023-07-31 08:10:00,2023-07-31 08:10:00,Heat,BRONX,NYC 311,Closed,0,2023-07-31
INC500035,2023-09-19 07:35:00,2023-09-26 07:35:00,Noise - Residential,BRONX,DOB,Closed,7,2023-09-19
INC500036,2023-04-28 06:07:00,2023-04-30 06:07:00,Illegal Parking,QUEENS,NYC 311,Closed,2,2023-04-28
INC500037,2023-04-12 17:11:00,2023-04-17 17:11:00,Water System,STATEN ISLAND,NYC 311,Open,5,2023-04-12
INC500038,2023-03-06 04:09:00,2023-03-09 04:09:00,Noise - Residential,MANHATTAN,DSNY,Closed,3,2023-03-06
INC500039,2023-07-01 22:14:00,2023-07-04 22:14:00,Street Condition,BROOKLYN,NYPD,Closed,3,2023-07-01
INC500040,2023-06-25 20:27:00,2023-06-25 20:27:00,Noise - Residential,MANHATTAN,DSNY,Closed,0,2023-06-25
INC500041,2023-01-07 07:24:00,2023-01-17 07:24:00,Street Condition,STATEN ISLAND,DOT,Open,10,2023-01-07
INC500042,2023-08-16 23:50:00,2023-08-19 23:50:00,Heat,STATEN ISLAND,DOT,Open,3,2023-08-16
INC500043,2023-08-16 11:16:00,2023-08-17 11:16:00,Noise - Residential,BROOKLYN,NYPD,Closed,1,2023-08-16
INC500044,2023-03-09 00:56:00,2023-03-10 00:56:00,Rodent,BROOKLYN,DSNY,Closed,1,2023-03-09
INC500045,2023-02-07 01:22:00,2023-02-07 01:22:00,Water System,QUEENS,DOB,Open,0,2023-02-07
INC500046,2023-01-18 12:52:00,2023-01-19 12:52:00,Illegal Parking,BRONX,DOB,Closed,1,2023-01-18
INC500047,2023-05-28 23:25:00,2023-05-30 23:25:00,Sewer,MANHATTAN,DOT,Open,2,2023-05-28
INC500048,2023-07-28 01:13:00,2023-07-29 01:13:00,Illegal Parking,STATEN ISLAND,NYC 311,Open,1,2023-07-28
INC500049,2023-01-03 18:01:00,2023-01-10 18:01:00,Noise - Residential,QUEENS,DOB,Pending,7,2023-01-03
INC500050,2023-02-01 08:11:00,2023-02-04 08:11:00,Blocked Driveway,BRONX,DOB,Closed,3,2023-02-01
INC500051,2023-09-15 12:59:00,2023-09-29 12:59:00,Street Light Condition,MANHATTAN,DOT,Closed,14,2023-09-15
