unique_key,created_date,closed_date,complaint_type,borough,agency,status
INC500000,2023-07-14 06:38:00,2023-07-14 06:38:00,Illegal Parking,QUEENS,NYPD,Open
INC500001,2023-09-29 21:44:00,2023-10-02 21:44:00,Heat,QUEENS,DSNY,Closed
INC500002,2023-10-29 06:50:00,2023-11-08 06:50:00,Blocked Driveway,STATEN ISLAND,DOB,Closed
INC500003,2023-03-19 14:42:00,2023-03-19 14:42:00,Rodent,BROOKLYN,DOB,Closed
INC500004,2023-12-13 02:30:00,2023-12-14 02:30:00,Noise - Residential,STATEN ISLAND,DSNY,Closed
INC500005,2023-07-05 17:05:00,2023-07-07 17:05:00,Heat,BROOKLYN,NYC 311,Closed
INC500006,2023-03-08 06:58:00,2023-03-13 06:58:00,Street Condition,BRONX,DOT,Closed
INC500007,2023-12-05 05:02:00,2023-12-05 05:02:00,Noise - Residential,STATEN ISLAND,DSNY,Closed
INC500008,2023-08-06 20:05:00,2023-08-06 20:05:00,Rodent,MANHATTAN,DOT,Closed
INC500009,2023-07-27 06:57:00,2023-08-03 06:57:00,Noise - Residential,STATEN ISLAND,NYPD,Closed
INC500010,2023-07-26 04:22:00,2023-08-05 04:22:00,Street Light Condition,STATEN ISLAND,DOB,Closed
INC500011,2023-03-19 19:26:00,2023-03-19 19:26:00,Noise - Residential,STATEN ISLAND,DOT,Closed
INC500012,2023-03-16 06:56:00,2023-03-19 06:56:00,Street Condition,QUEENS,NYPD,Open
INC500013,2023-07-05 05:43:00,2023-07-05 05:43:00,Illegal Parking,MANHATTAN,NYC 311,Closed
INC500014,2023-04-21 12:25:00,2023-04-22 12:25:00,Street Condition,BRONX,NYPD,Closed
INC500015,2023-02-17 05:56:00,2023-02-17 05:56:00,Blocked Driveway,STATEN ISLAND,DSNY,Open
INC500016,2023-06-09 20:14:00,2023-06-14 20:14:00,Illegal Parking,BROOKLYN,DOB,Open
INC500017,2023-04-22 22:43:00,2023-04-27 22:43:00,Blocked Driveway,BRONX,NYC 311,Closed
INC500018,2023-08-04 08:04:00,2023-08-06 08:04:00,Heat,QUEENS,DSNY,Open
INC500019,2023-03-07 08:27:00,2023-03-17 08:27:00,Blocked Driveway,STATEN ISLAND,DEP,Closed
INC500020,2023-05-25 12:43:00,2023-05-30 12:43:00,Street Condition,BROOKLYN,DOB,Closed
INC500021,2023-04-10 12:21:00,2023-04-20 12:21:00,Blocked Driveway,QUEENS,DOB,Closed
INC500022,2023-04-09 21:42:00,2023-04-09 21:42:00,Water System,BRONX,DOB,Closed
INC500023,2023-07-29 11:42:00,2023-07-31 11:42:00,Noise - Residential,BROOKLYN,NYC 311,Closed
INC500024,2023-06-08 21:47:00,2023-06-22 21:47:00,Street Light Condition,STATEN ISLAND,DOT,Open
INC500025,2023-08-02 14:35:00,2023-08-05 14:35:00,Rodent,BRONX,DEP,Closed
INC500026,2023-04-13 23:01:00,2023-04-27 23:01:00,Street Condition,BRONX,NYC 311,Closed
INC500027,2023-08-02 09:23:00,2023-08-16 09:23:00,Water System,MANHATTAN,DEP,Closed
INC500028,2023-04-10 03:55:00,2023-04-17 03:55:00,Blocked Driveway,BRONX,DSNY,Closed
INC500029,2023-03-07 04:57:00,2023-03-09 04:57:00,Street Condition,BRONX,DSNY,Closed
INC500030,2023-04-02 11:16:00,2023-04-03 11:16:00,Street Light Condition,STATEN ISLAND,DOB,Open
INC500031,2023-04-05 15:36:00,2023-04-15 15:36:00,Heat,QUEENS,DOT,Closed
INC500032,2023-09-30 07:29:00,2023-10-02 07:29:00,Noise - Residential,MANHATTAN,NYC 311,Open
INC500033,2023-12-02 23:00:00,2023-12-05 23:00:00,Rodent,BRONX,DEP,Closed
INC500034,2023-07-31 08:10:00,2023-07-31 08:10:00,Heat,BRONX,NYC 311,Closed
INC500035,2023-09-19 07:35:00,2023-09-26 07:35:00,Noise - Residential,BRONX,DOB,Closed
INC500036,2023-04-28 06:07:00,2023-04-30 06:07:00,Illegal Parking,QUEENS,NYC 311,Closed
INC500037,2023-04-12 17:11:00,2023-04-17 17:11:00,Water System,STATEN ISLAND,NYC 311,Open
INC500038,2023-03-06 04:09:00,2023-03-09 04:09:00,Noise - Residential,MANHATTAN,DSNY,Closed
INC500039,2023-07-01 22:14:00,2023-07-04 22:14:00,Street Condition,BROOKLYN,NYPD,Closed
INC500040,2023-06-25 20:27:00,2023-06-25 20:27:00,Noise - Residential,MANHATTAN,DSNY,Closed
INC500041,2023-01-07 07:24:00,2023-01-17 07:24:00,Street Condition,STATEN ISLAND,DOT,Open
INC500042,2023-08-16 23:50:00,2023-08-19 23:50:00,Heat,STATEN ISLAND,DOT,Open
INC500043,2023-08-16 11:16:00,2023-08-17 11:16:00,Noise - Residential,BROOKLYN,NYPD,Closed
INC500044,2023-03-09 00:56:00,2023-03-10 00:56:00,Rodent,BROOKLYN,DSNY,Closed
INC500045,2023-02-07 01:22:00,2023-02-07 01:22:00,Water System,QUEENS,DOB,Open
INC500046,2023-01-18 12:52:00,2023-01-19 12:52:00,Illegal Parking,BRONX,DOB,Closed
INC500047,2023-05-28 23:25:00,2023-05-30 23:25:00,Sewer,MANHATTAN,DOT,Open
INC500048,2023-07-28 01:13:00,2023-07-29 01:13:00,Illegal Parking,STATEN ISLAND,NYC 311,Open
INC500049,2023-01-03 18:01:00,2023-01-10 18:01:00,Noise - Residential,QUEENS,DOB,Pending
INC500050,2023-02-01 08:11:00,2023-02-04 08:11:00,Blocked Driveway,BRONX,DOB,Closed
INC500051,2023-09-15 12:59:00,2023-09-29 12:59:00,Street Light Condition,MANHATTAN,DOT,Closed
INC500052,2023-08-11 04:30:00,2023-08-21 04:30:00,Noise - Residential,BRONX,DOT,Closed
INC500053,2023-09-06 06:45:00,2023-09-16 06:45:00,Blocked Driveway,STATEN ISLAND,DOT,Closed
INC500054,2023-09-01 23:57:00,2023-09-02 23:57:00,Street Condition,BROOKLYN,DOB,Closed
INC500055,2023-12-11 16:58:00,2023-12-21 16:58:00,Rodent,STATEN ISLAND,DEP,Closed
INC500056,2023-12-18 22:26:00,2023-12-20 22:26:00,Rodent,BROOKLYN,NYPD,Closed
INC500057,2023-06-21 15:12:00,2023-06-21 15:12:00,Water System,STATEN ISLAND,DSNY,Pending
INC500058,2023-06-11 06:59:00,2023-06-11 06:59:00,Illegal Parking,MANHATTAN,DOB,Closed
INC500059,2023-01-06 18:33:00,2023-01-07 18:33:00,Sewer,BRONX,NYPD,Closed
INC500060,2023-03-14 22:19:00,2023-03-17 22:19:00,Noise - Residential,QUEENS,NYC 311,Closed
INC500061,2023-04-29 04:38:00,2023-04-29 04:38:00,Street Condition,BRONX,NYPD,Closed
INC500062,2023-05-06 17:09:00,2023-05-13 17:09:00,Noise - Residential,QUEENS,DOT,Closed
INC500063,2023-11-14 08:48:00,2023-11-24 08:48:00,Water System,BRONX,DOB,Closed
INC500064,2023-02-11 22:54:00,2023-02-25 22:54:00,Blocked Driveway,QUEENS,DSNY,Closed
INC500065,2023-11-27 08:20:00,2023-12-02 08:20:00,Street Condition,STATEN ISLAND,DOT,Closed
INC500066,2023-01-18 07:17:00,2023-01-19 07:17:00,Noise - Residential,MANHATTAN,DEP,Open
INC500067,2023-05-05 06:28:00,2023-05-10 06:28:00,Street Light Condition,STATEN ISLAND,NYPD,Closed
INC500068,2023-07-16 03:47:00,2023-07-16 03:47:00,Street Light Condition,MANHATTAN,DOB,Pending
INC500069,2023-08-07 10:32:00,2023-08-21 10:32:00,Rodent,QUEENS,NYC 311,Closed
INC500070,2023-07-23 06:04:00,2023-07-26 06:04:00,Illegal Parking,BRONX,NYPD,Open
INC500071,2023-02-13 22:01:00,2023-02-13 22:01:00,Noise - Residential,STATEN ISLAND,DSNY,Closed
INC500072,2023-08-05 21:42:00,2023-08-08 21:42:00,Noise - Residential,BROOKLYN,NYPD,Closed
INC500073,2023-04-15 21:40:00,2023-04-29 21:40:00,Noise - Residential,BROOKLYN,NYPD,Closed
INC500074,2023-03-11 22:18:00,2023-03-25 22:18:00,Sewer,BROOKLYN,DOT,Closed
INC500075,2023-07-17 20:06:00,2023-07-17 20:06:00,Heat,QUEENS,DOB,Closed
INC500076,2023-05-21 23:07:00,2023-05-21 23:07:00,Rodent,BROOKLYN,DSNY,Closed
INC500077,2023-03-07 09:38:00,2023-03-09 09:38:00,Street Condition,QUEENS,DEP,Open
INC500078,2023-08-18 08:32:00,2023-08-19 08:32:00,Noise - Residential,BRONX,DOT,Closed
INC500079,2023-09-19 04:51:00,2023-09-21 04:51:00,Rodent,BRONX,NYC 311,Closed
INC500080,2023-10-12 13:50:00,2023-10-12 13:50:00,Noise - Residential,BROOKLYN,DOB,Open
INC500081,2023-10-25 02:00:00,2023-10-27 02:00:00,Blocked Driveway,QUEENS,NYC 311,Closed
INC500082,2023-02-15 07:19:00,2023-02-15 07:19:00,Noise - Residential,BROOKLYN,NYPD,Closed
INC500083,2023-10-12 21:41:00,2023-10-12 21:41:00,Rodent,BROOKLYN,DOT,Closed
INC500084,2023-07-27 10:32:00,2023-07-27 10:32:00,Water System,BRONX,DEP,Closed
